raceId,constructorId,circuitId,year,constructorName,circuitName,circuitClass1,circuitClass2,circuitClass3,distanceKm,location,country,constructorDriverCount,totalDriverCount,totalConstructorCount,totalCalculatedPoints,totalRacePoints,shareOfTotalPoints,maxPoints,shareOfMaxPoints,firstPlace,secondPlace,thirdPlace,trailingDriverCircuitExperience,totalDriverCircuitExperience,trailingAvgRelativeFinish,avgRelativePerformance,eventTrailingCompetitivenessDriver,eventCompetitivenessDriver,trailingConstructorCircuitExperience,totalConstructorCircuitExperience,trailingConstructorAvgRelativeFinish,constructorAvgRelativeFinish,eventTrailingCompetitivenessConstructor,eventCompetitivenessConstructor,logAdjustedShareOfMaxPoints,finishingNumber,finishingPercentage,finishingGroup,podiumAppearance,numberOfRacesAtCircuit
1,1,1,2009,McLaren,Australian Grand Prix,Street,Street,Road,5.303,Melbourne,Australia,2,20,10,1.01E-26,26.01010101,3.88311E-28,16,6.3125E-28,0,0,0,4,19,0.215909091,0.428336247,0.510536061,0.472977651,13,24,0.360606061,0.417713594,0.547034424,0.425292072,-62.62985081,10,1,4,0,24
1,2,1,2009,BMW Sauber,Australian Grand Prix,Street,Street,Road,5.303,Melbourne,Australia,2,20,10,1E-08,26.01010101,3.84466E-10,16,6.25E-10,0,0,0,11,16,0.57449495,0.541019284,0.510536061,0.472977651,3,4,0.340909091,0.405681818,0.547034424,0.425292072,-21.19326946,7,0.7,3,0,24
1,3,1,2009,Williams,Australian Grand Prix,Street,Street,Road,5.303,Melbourne,Australia,2,20,10,1,26.01010101,0.038446602,16,0.0625,0,0,0,4,13,0.371212122,0.485766759,0.510536061,0.472977651,13,24,0.421416084,0.523032407,0.547034424,0.425292072,-2.772588722,4,0.4,2,0,24
1,4,1,2009,Renault,Australian Grand Prix,Street,Street,Road,5.303,Melbourne,Australia,2,20,10,2,26.01010101,0.076893204,16,0.125,0,0,0,8,18,0.380844156,0.488944129,0.510536061,0.472977651,7,14,0.323376623,0.42224026,0.547034424,0.425292072,-2.079441542,3,0.3,2,0,24
1,5,1,2009,Toro Rosso,Australian Grand Prix,Street,Street,Road,5.303,Melbourne,Australia,2,20,10,0.0101,26.01010101,0.000388311,16,0.00063125,0,0,0,1,5,0.659090909,0.439267677,0.510536061,0.472977651,3,14,0.659090909,0.558234127,0.547034424,0.425292072,-7.367808577,5,0.5,2,0,24
1,6,1,2009,Ferrari,Australian Grand Prix,Street,Street,Road,5.303,Melbourne,Australia,2,20,10,1.01E-18,26.01010101,3.88311E-20,16,6.3125E-20,0,0,0,14,32,0.481344697,0.435963557,0.510536061,0.472977651,13,24,0.363403263,0.335953283,0.547034424,0.425292072,-44.20917007,9,0.9,4,0,24
1,7,1,2009,Toyota,Australian Grand Prix,Street,Street,Road,5.303,Melbourne,Australia,2,20,10,7,26.01010101,0.269126214,16,0.4375,0,0,1,13,20,0.504450758,0.526919192,0.510536061,0.472977651,7,8,0.580519481,0.529829545,0.547034424,0.425292072,-0.826678573,2,0.2,1,1,24
1,9,1,2009,Red Bull,Australian Grand Prix,Street,Street,Road,5.303,Melbourne,Australia,2,20,10,1.01E-12,26.01010101,3.88311E-14,16,6.3125E-14,0,0,0,8,24,0.76948052,0.415909091,0.510536061,0.472977651,4,15,0.580113636,0.480185185,0.547034424,0.425292072,-30.39365951,8,0.8,3,0,24
1,10,1,2009,Force India,Australian Grand Prix,Street,Street,Road,5.303,Melbourne,Australia,2,20,10,1.0001E-06,26.01010101,3.84504E-08,16,6.25063E-08,0,0,0,15,21,0.609207459,0.515205628,0.510536061,0.472977651,1,11,0.840909091,0.505050505,0.547034424,0.425292072,-16.58799929,6,0.6,3,0,24
1,23,1,2009,Brawn,Australian Grand Prix,Street,Street,Road,5.303,Melbourne,Australia,2,20,10,16,26.01010101,0.615145631,16,1,1,1,0,22,33,0.539325952,0.452444946,0.510536061,0.472977651,0,1,1,0.075,0.547034424,0.425292072,0,1,0.1,1,2,24
2,1,2,2009,McLaren,Malaysian Grand Prix,Race,Race,Race,5.543,Sepang,Malaysia,2,20,10,0.01,26.01010101,0.000384466,16,0.000625,0,0,0,4,17,0.204545455,0.419197659,0.593288149,0.510554667,10,19,0.385227273,0.421152313,0.541298701,0.426665059,-7.377758908,5,0.5,2,0,19
