gid,pid,seas,week,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,off,def,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,pts,blk,brcv,fgxp,fkicker,NumKicks,dist,good,ptsv,ptsh,iced,detail,surface,elapsedtime
1,17,2000,1,SUN,SF,ATL,Georgia Dome,79,,,,Dome,AstroTurf,42.5,7,ATL,SF,6,3,1,10,25,0,7,2,3,4,7,75,3,,,FG,MA-0700,182,43,Y,28,36,0,"(10:25) M.Andersen 43 yard field goal is GOOD, Center-D.Rackley, Holder-D.Stryzinski.",Turf,10.41666667
1,34,2000,1,SUN,SF,ATL,Georgia Dome,79,,,,Dome,AstroTurf,42.5,7,ATL,SF,10,3,1,6,20,3,7,2,3,4,9,73,3,,,FG,MA-0700,182,44,Y,28,36,0,"(6:20) M.Andersen 44 yard field goal is GOOD, Center-D.Rackley, Holder-D.Stryzinski.",Turf,6.333333333
1,52,2000,1,SUN,SF,ATL,Georgia Dome,79,,,,Dome,AstroTurf,42.5,7,ATL,SF,11,3,2,11,39,6,7,2,2,4,6,94,3,,,FG,MA-0700,182,24,Y,28,36,0,"(11:39) M.Andersen 24 yard field goal is GOOD, Center-D.Rackley, Holder-D.Stryzinski.",Turf,26.65
1,64,2000,1,SUN,SF,ATL,Georgia Dome,79,,,,Dome,AstroTurf,42.5,7,ATL,SF,6,3,2,8,29,9,7,2,2,4,7,74,3,,,FG,MA-0700,182,44,Y,28,36,0,"(8:29) M.Andersen 44 yard field goal is GOOD, Center-D.Rackley, Holder-D.Stryzinski.",Turf,23.48333333
1,95,2000,1,SUN,SF,ATL,Georgia Dome,79,,,,Dome,AstroTurf,42.5,7,ATL,SF,7,3,2,0,0,19,14,1,1,2,5,69,3,,,FG,MA-0700,182,48,Y,28,36,0,"(:00) M.Andersen 48 yard field goal is GOOD, Center-D.Rackley, Holder-D.Stryzinski.",Turf,15
2,241,2000,1,SUN,JAC,CLE,Cleveland Browns Stadium,78,63,9,NE,Sunny,Grass,38,-10,JAC,CLE,12,4,2,0,34,7,7,1,2,4,23,68,3,,,FG,MH-3100,87,50,Y,27,7,1,"(:34) M.Hollis 50 yard field goal is GOOD, Center-Q.Neujahr, Holder-B.Barker.",Grass,15.56666667
2,277,2000,1,SUN,JAC,CLE,Cleveland Browns Stadium,78,63,9,NE,Sunny,Grass,38,-10,JAC,CLE,10,3,3,5,53,17,7,3,1,4,7,93,3,,,FG,MH-3100,87,25,Y,27,7,0,"(5:53) M.Hollis 25 yard field goal is GOOD, Center-Q.Neujahr, Holder-B.Barker.",Grass,35.88333333
3,375,2000,1,SUN,PHI,DAL,Texas Stadium,109,19,5,S,Sunny,AstroTurf,40,6,PHI,DAL,13,3,2,7,6,21,0,2,3,4,5,85,3,,,FG,DA-0300,516,33,Y,41,14,0,"(7:06) D.Akers 33 yard field goal is GOOD, Center-M.Bartrum, Holder-K.Detmer.",Turf,22.1
3,387,2000,1,SUN,PHI,DAL,Texas Stadium,109,19,5,S,Sunny,AstroTurf,40,6,DAL,PHI,4,3,2,3,35,0,24,3,2,4,8,83,3,,,FG,TS-1100,62,34,Y,41,14,0,"(3:35) T.Seder 34 yard field goal is GOOD, Center-D.Hellestrae, Holder-M.Knorr.",Turf,18.58333333
3,401,2000,1,SUN,PHI,DAL,Texas Stadium,109,19,5,S,Sunny,AstroTurf,40,6,DAL,PHI,5,3,2,0,4,3,24,0,2,1,10,79,3,,,FG,TS-1100,62,38,Y,41,14,0,"(:04) T.Seder 38 yard field goal is GOOD, Center-D.Hellestrae, Holder-M.Knorr.",Turf,15.06666667
